step_pair,phase,cycle,L_xmin,L_xmax,R_xmin,R_xmax,ratio_target,ratio_avg,converged,L_plastic_thick_max_m,L_plastic_nzone,L_contour_ngp,R_plastic_thick_max_m,R_plastic_nzone,R_contour_ngp,rock_crown_2608_z,rock_wallL_2608_y,rock_wallR_2608_y,rock_crown_2896_z,rock_wallL_2896_y,rock_wallR_2896_y
11,conv_1e-5,2000,2585.0,2585.0,2923.0,2923.0,1e-05,2.2889010999782334e-06,1,0.9013878188659973,37,92,3.966220212970764,159,92,-0.00017384443154317455,-1.5964201177215154e-05,-0.0002879343128421697,-0.003151239762633067,-0.00010294932058327724,-0.000173173515660149
12,conv_1e-5,2000,2587.0,2587.0,2921.0,2921.0,1e-05,2.105993220816226e-06,1,0.9013878188659973,37,92,3.966220212970764,159,92,-0.0002054495427108382,1.2008726506792467e-05,-0.00032056304894550835,-0.0032057402642185766,-0.0001386048469764607,-0.00023330260533308762
13,conv_1e-5,2000,2589.0,2589.0,2919.0,2919.0,1e-05,1.9893438940193652e-06,1,0.9013878188659973,37,92,3.966220212970764,159,92,-0.0002476536301585172,4.7293239397400574e-05,-0.00036524512810104604,-0.003241949765089082,-0.0001773733684245888,-0.00030884526587262765
14,conv_1e-5,2000,2591.0,2591.0,2917.0,2917.0,1e-05,1.9210512467361954e-06,1,0.9013878188659973,37,92,3.966220212970764,158,92,-0.00030643768476412995,9.529617548767828e-05,-0.0004246584527174321,-0.0032621540275661037,-0.00021971709184570137,-0.0004042371202899265
15,conv_1e-5,2000,2593.0,2593.0,2915.0,2915.0,1e-05,1.8789626301854832e-06,1,0.8302024518821274,36,92,3.966220212970764,159,92,-0.0003908909595147464,0.00016220790428485884,-0.0005063340479023091,-0.0032690366537882066,-0.0002645827737581052,-0.0005284799139210186
16,conv_1e-5,2000,2595.0,2595.0,2913.0,2913.0,1e-05,1.874087309718597e-06,1,0.8302024518821274,36,92,3.966220212970764,159,92,-0.0005157548978853824,0.00026136530743350324,-0.0006214052421153927,-0.003267536979978038,-0.0003055265451691998,-0.0006907565353436912
17,conv_1e-5,2000,2597.0,2597.0,2911.0,2911.0,1e-05,1.8670233156142654e-06,1,0.8302024518821274,37,92,3.966220212970764,159,92,-0.0007236792535166351,0.0004280288538292059,-0.0008003461034873294,-0.003261781312113612,-0.000338705261500395,-0.0009172600277042951
18,conv_1e-5,2000,2599.0,2599.0,2909.0,2909.0,1e-05,2.271053859827532e-06,1,1.5206906325745548,59,92,3.966220212970764,159,92,-0.005230867293614755,0.007209941721706976,-0.007278300420857102,-0.0032710792580962836,-0.0003480398701395133,-0.0012397037888342351
19,conv_1e-5,2000,2601.0,2601.0,2907.0,2907.0,1e-05,1.8788506582513167e-06,1,1.3176156917368325,56,92,3.966220212970764,159,92,-0.005309101948560588,0.0072958508028057355,-0.007268957903152769,-0.0033354997589951398,-0.0003041812278847382,-0.0017248139725200419
20,conv_1e-5,2000,2603.0,2603.0,2905.0,2905.0,1e-05,1.823214044221372e-06,1,1.3176156917368325,58,92,3.966220212970764,160,92,-0.010478202870069524,0.013041965764069808,-0.01215117936492946,-0.0035546574877848127,-0.00011939199717946205,-0.002514010516833746
21,conv_1e-5,2000,2605.0,2605.0,2903.0,2903.0,1e-05,1.783575131516908e-06,1,1.3176156917368325,58,92,3.966220212970764,160,92,-0.01519027266761868,0.017434202260831762,-0.015569969421328751,-0.004241078203120727,0.00041165792896359296,-0.003958161356735307
