step,phase,cycle,excav_xmin,excav_xmax,ratio_target,ratio_avg,converged,plastic_thick_max_m,plastic_nzone,contour_ngp,crown_gp_id,crown_x,crown_y,crown_z,crown_ux,crown_uy,crown_uz,wallL_gp_id,wallL_x,wallL_y,wallL_z,wallL_ux,wallL_uy,wallL_uz,wallR_gp_id,wallR_x,wallR_y,wallR_z,wallR_ux,wallR_uy,wallR_uz,n_lined
12,conv_1e-5,2000,2856.99,2858.01,1e-05,2.75989e-06,1,4.25735,838,138,128220,2896,4800,220,-0.00108705,6.30671e-05,-0.00151518,69034,2896,4797,217,-0.00109586,0.000111359,-0.00152858,121554,2896,4803,217,-0.00110602,1.36657e-05,-0.00166218,0
13,conv_1e-5,2000,2857.99,2859.01,1e-05,2.88451e-06,1,4.25735,851,138,128220,2896,4800,220,-0.00118896,5.66115e-05,-0.00151149,69034,2896,4797,217,-0.00120236,0.000106039,-0.00152278,121554,2896,4803,217,-0.0012112,5.80893e-06,-0.00165583,0
14,conv_1e-5,2000,2858.99,2860.01,1e-05,3.04684e-06,1,4.25735,862,138,128220,2896,4800,220,-0.00129211,4.92584e-05,-0.00150676,69034,2896,4797,217,-0.00131003,9.96688e-05,-0.0015161,121554,2896,4803,217,-0.0013174,-2.59039e-06,-0.00164864,0
15,conv_1e-5,2000,2859.99,2861.01,1e-05,3.21556e-06,1,4.25735,872,138,128220,2896,4800,220,-0.00139769,4.14491e-05,-0.00150085,69034,2896,4797,217,-0.00142042,9.26599e-05,-0.00150841,121554,2896,4803,217,-0.00142552,-1.11019e-05,-0.00164054,0
16,conv_1e-5,2000,2860.99,2862.01,1e-05,3.40023e-06,1,4.25735,878,138,128220,2896,4800,220,-0.00150354,3.28868e-05,-0.0014936,69034,2896,4797,217,-0.00153153,8.45816e-05,-0.0014996,121554,2896,4803,217,-0.00153357,-1.98426e-05,-0.00163151,0
17,conv_1e-5,2000,2861.99,2863.01,1e-05,3.66184e-06,1,4.25735,882,138,128220,2896,4800,220,-0.00160968,2.32936e-05,-0.00148465,69034,2896,4797,217,-0.00164367,7.52296e-05,-0.00148931,121554,2896,4803,217,-0.00164148,-2.93322e-05,-0.00162101,0
18,conv_1e-5,2000,2862.99,2864.01,1e-05,3.89161e-06,1,4.25735,886,138,128220,2896,4800,220,-0.00171604,1.30359e-05,-0.00147402,69034,2896,4797,217,-0.00175626,6.49151e-05,-0.00147754,121554,2896,4803,217,-0.00174964,-3.88835e-05,-0.00160923,0
19,conv_1e-5,2000,2863.99,2865.01,1e-05,4.14933e-06,1,4.25735,888,138,128220,2896,4800,220,-0.00182395,1.66111e-06,-0.00146096,69034,2896,4797,217,-0.00187053,5.30878e-05,-0.00146363,121554,2896,4803,217,-0.00185817,-4.90733e-05,-0.00159535,0
20,conv_1e-5,2000,2864.99,2866.01,1e-05,4.37884e-06,1,4.25735,890,138,128220,2896,4800,220,-0.00193307,-1.0851e-05,-0.00144549,69034,2896,4797,217,-0.0019868,3.9876e-05,-0.00144753,121554,2896,4803,217,-0.00196766,-6.00233e-05,-0.0015792,0
21,conv_1e-5,2000,2865.99,2867.01,1e-05,4.58196e-06,1,4.25735,894,138,128220,2896,4800,220,-0.00204328,-2.42295e-05,-0.0014273,69034,2896,4797,217,-0.00210434,2.54014e-05,-0.00142899,121554,2896,4803,217,-0.00207727,-7.11988e-05,-0.00156061,0
22,conv_1e-5,2000,2866.99,2868.01,1e-05,4.62062e-06,1,4.25735,895,138,128220,2896,4800,220,-0.00215379,-3.89623e-05,-0.00140614,69034,2896,4797,217,-0.00222281,9.13019e-06,-0.00140757,121554,2896,4803,217,-0.00218606,-8.30507e-05,-0.00153929,0
23,conv_1e-5,2000,2867.99,2869.01,1e-05,4.72182e-06,1,4.25735,896,138,128220,2896,4800,220,-0.00226563,-5.48572e-05,-0.00138168,69034,2896,4797,217,-0.00234264,-8.45261e-06,-0.00138294,121554,2896,4803,217,-0.0022941,-9.56792e-05,-0.00151447,0
24,conv_1e-5,2000,2868.99,2870.01,1e-05,5.19316e-06,1,4.25735,898,138,128220,2896,4800,220,-0.00237801,-7.20284e-05,-0.00135388,69034,2896,4797,217,-0.00246318,-2.77579e-05,-0.00135554,121554,2896,4803,217,-0.00240159,-0.000109019,-0.0014868,0
25,conv_1e-5,2000,2869.99,2871.01,1e-05,5.10018e-06,1,4.25735,901,138,128220,2896,4800,220,-0.00249184,-9.04089e-05,-0.00132191,69034,2896,4797,217,-0.00258689,-4.88123e-05,-0.00132368,121554,2896,4803,217,-0.00250835,-0.000123115,-0.00145441,0
26,conv_1e-5,2000,2870.99,2872.01,1e-05,4.85686e-06,1,4.25735,902,138,128220,2896,4800,220,-0.00260518,-0.000109933,-0.00128638,69034,2896,4797,217,-0.00270965,-7.11629e-05,-0.00128814,121554,2896,4803,217,-0.00261186,-0.000138069,-0.00141853,0
27,conv_1e-5,2000,2871.99,2873.01,1e-05,4.89371e-06,1,4.25735,903,138,128220,2896,4800,220,-0.00271708,-0.000130356,-0.00124708,69034,2896,4797,217,-0.0028323,-9.45964e-05,-0.00124908,121554,2896,4803,217,-0.00271144,-0.000153426,-0.0013782,0
28,conv_1e-5,2000,2872.99,2874.01,1e-05,4.96309e-06,1,4.25735,904,138,128220,2896,4800,220,-0.00283075,-0.000152016,-0.00120339,69034,2896,4797,217,-0.00295654,-0.000119158,-0.0012055,121554,2896,4803,217,-0.00280968,-0.000170073,-0.00133266,0
29,conv_1e-5,2000,2873.99,2875.01,1e-05,5.00696e-06,1,4.25735,905,138,128220,2896,4800,220,-0.00294496,-0.000174574,-0.00115545,69034,2896,4797,217,-0.00308288,-0.00014443,-0.00115713,121554,2896,4803,217,-0.00290453,-0.000187856,-0.0012818,0
30,conv_1e-5,2000,2874.99,2876.01,1e-05,4.98964e-06,1,4.25735,905,138,128220,2896,4800,220,-0.00305919,-0.000197759,-0.00110432,69034,2896,4797,217,-0.00321015,-0.00016997,-0.00110403,121554,2896,4803,217,-0.00299501,-0.00020658,-0.00122537,0
31,conv_1e-5,2000,2875.99,2877.01,1e-05,4.99354e-06,1,4.50694,907,138,128220,2896,4800,220,-0.0031758,-0.000221487,-0.00104844,69034,2896,4797,217,-0.00334109,-0.000194741,-0.00104548,121554,2896,4803,217,-0.00308218,-0.000227055,-0.00116191,0
32,conv_1e-5,2000,2876.99,2878.01,1e-05,5.02936e-06,1,4.50694,908,138,128220,2896,4800,220,-0.00329489,-0.00024508,-0.000989474,69034,2896,4797,217,-0.00347641,-0.000217963,-0.000981655,121554,2896,4803,217,-0.00316658,-0.000249006,-0.00109278,0
33,conv_1e-5,2000,2877.99,2879.01,1e-05,5.19189e-06,1,4.50694,909,138,128220,2896,4800,220,-0.00341878,-0.000268877,-0.000928884,69034,2896,4797,217,-0.00361809,-0.0002383,-0.000912955,121554,2896,4803,217,-0.00324733,-0.000273679,-0.00101668,0
34,conv_1e-5,2000,2878.99,2880.01,1e-05,5.15269e-06,1,4.50694,909,138,128220,2896,4800,220,-0.00354808,-0.000291356,-0.00086719,69034,2896,4797,217,-0.00376898,-0.000253388,-0.000839211,121554,2896,4803,217,-0.0033271,-0.000301249,-0.000932916,0
35,conv_1e-5,2000,2879.99,2881.01,1e-05,5.17949e-06,1,4.50694,911,138,128220,2896,4800,220,-0.00368546,-0.000311641,-0.00080664,69034,2896,4797,217,-0.00393169,-0.000259948,-0.000760694,121554,2896,4803,217,-0.00340266,-0.000332308,-0.000842989,0
36,conv_1e-5,2000,2880.99,2882.01,1e-05,5.08932e-06,1,4.50694,911,138,128220,2896,4800,220,-0.00383324,-0.000329101,-0.000749428,69034,2896,4797,217,-0.0041079,-0.000254575,-0.000677916,121554,2896,4803,217,-0.00347882,-0.000368827,-0.000745507,0
37,conv_1e-5,2000,2881.99,2883.01,1e-05,5.13683e-06,1,4.50694,910,138,128220,2896,4800,220,-0.00399869,-0.000341459,-0.00070135,69034,2896,4797,217,-0.00430834,-0.000230378,-0.000592184,121554,2896,4803,217,-0.00355745,-0.000412465,-0.000642127,0
38,conv_1e-5,2000,2882.99,2884.01,1e-05,5.22136e-06,1,4.50694,912,138,128220,2896,4800,220,-0.00418946,-0.00034687,-0.000667468,69034,2896,4797,217,-0.00454243,-0.000179632,-0.000504259,121554,2896,4803,217,-0.00364424,-0.000467078,-0.000532198,0
39,conv_1e-5,2000,2883.99,2885.01,1e-05,5.12828e-06,1,4.50694,912,138,128220,2896,4800,220,-0.00441541,-0.000341483,-0.000657241,69034,2896,4797,217,-0.00482242,-8.88503e-05,-0.000416152,121554,2896,4803,217,-0.00374655,-0.000537098,-0.000416708,0
40,conv_1e-5,2000,2884.99,2886.01,1e-05,5.00894e-06,1,4.50694,912,138,128220,2896,4800,220,-0.00469037,-0.000321639,-0.00068462,69034,2896,4797,217,-0.00516455,5.98737e-05,-0.000330868,121554,2896,4803,217,-0.00387337,-0.00063205,-0.000297562,0
41,conv_1e-5,2000,2885.99,2887.01,1e-05,5.04278e-06,1,4.50694,912,138,128220,2896,4800,220,-0.00504163,-0.000280867,-0.000772062,69034,2896,4797,217,-0.00560108,0.000296799,-0.000252027,121554,2896,4803,217,-0.00404874,-0.000768155,-0.000176506,0
42,conv_1e-5,2000,2886.99,2888.01,1e-05,5.12345e-06,1,4.50694,910,138,128220,2896,4800,220,-0.0055033,-0.000207263,-0.000956036,69034,2896,4797,217,-0.00617263,0.000673246,-0.000186438,121554,2896,4803,217,-0.00429999,-0.00097172,-5.6665e-05,0
43,conv_1e-5,2000,2887.99,2889.01,1e-05,5.0823e-06,1,4.50694,912,138,128220,2896,4800,220,-0.00612921,-8.65284e-05,-0.00129605,69034,2896,4797,217,-0.00693582,0.00126927,-0.000143133,121554,2896,4803,217,-0.00467599,-0.00129539,5.84592e-05,0
44,conv_1e-5,2000,2888.99,2890.01,1e-05,5.15931e-06,1,4.50694,913,138,128220,2896,4800,220,-0.00700399,0.000108242,-0.00189973,69034,2896,4797,217,-0.00797213,0.00222949,-0.000136886,121554,2896,4803,217,-0.00525754,-0.00184015,0.000162385,0
45,conv_1e-5,2000,2889.99,2891.01,1e-05,5.25644e-06,1,4.50694,911,138,128220,2896,4800,220,-0.00823772,0.000423586,-0.00295651,69034,2896,4797,217,-0.00936336,0.00379082,-0.000191281,121554,2896,4803,217,-0.00615357,-0.00280894,0.000247992,0
46,conv_1e-5,2000,2890.99,2892.01,1e-05,5.27727e-06,1,4.50694,914,138,128220,2896,4800,220,-0.0100189,0.000949587,-0.00483396,69034,2896,4797,217,-0.0112171,0.00637763,-0.0003401,121554,2896,4803,217,-0.00751702,-0.00459122,0.000307421,0
47,conv_1e-5,2000,2891.99,2893.01,1e-05,5.31683e-06,1,4.50694,911,138,128220,2896,4800,220,-0.0125403,0.00182552,-0.00826963,69034,2896,4797,217,-0.0134722,0.0107906,-0.000638324,121554,2896,4803,217,-0.00950145,-0.00813538,0.000333375,0
48,conv_1e-5,2000,2892.99,2894.01,1e-05,5.27165e-06,1,4.50694,910,138,128220,2896,4800,220,-0.0167761,0.00282244,-0.0137741,69034,2896,4797,217,-0.0162603,0.0173252,-0.00109644,121554,2896,4803,217,-0.0128273,-0.0141418,0.000329112,0
49,conv_1e-5,2000,2893.99,2895.01,1e-05,5.1918e-06,1,4.50694,910,138,128220,2896,4800,220,-0.0234285,0.00335914,-0.0243844,69034,2896,4797,217,-0.02113,0.0268774,-0.00200575,121554,2896,4803,217,-0.0194514,-0.0247614,-0.000396944,0
50,cycle,50,2894.99,2896.01,1e-05,2.30519e-05,-1,0,0,0,128220,2896,4800,220,-0.0238227,0.00338378,-0.0246513,69034,2896,4797,217,-0.0212903,0.0274304,-0.0020709,121554,2896,4803,217,-0.0196511,-0.0253655,-0.000454825,0
50,cycle,100,2894.99,2896.01,1e-05,3.50383e-05,-1,0,0,0,128220,2896,4800,220,-0.0249845,0.00338979,-0.0249469,69034,2896,4797,217,-0.0222309,0.0284162,-0.00211461,121554,2896,4803,217,-0.0206351,-0.0263584,-0.000473238,0
50,cycle,200,2894.99,2896.01,1e-05,5.32594e-05,-1,0,0,0,128220,2896,4800,220,-0.0270054,0.00338215,-0.0263625,69034,2896,4797,217,-0.0241475,0.0309515,-0.00256361,121554,2896,4803,217,-0.0229869,-0.0290904,-0.000859397,0
50,cycle,300,2894.99,2896.01,1e-05,6.18671e-05,-1,0,0,0,128220,2896,4800,220,-0.0291022,0.0034331,-0.028546,69034,2896,4797,217,-0.0253034,0.0330283,-0.00270703,121554,2896,4803,217,-0.0249912,-0.031566,-0.00109665,0
50,cycle,400,2894.99,2896.01,1e-05,5.51358e-05,-1,0,0,0,128220,2896,4800,220,-0.0305895,0.00348978,-0.0311695,69034,2896,4797,217,-0.0263272,0.0351697,-0.00273827,121554,2896,4803,217,-0.0262183,-0.0340822,-0.0011142,0
50,cycle,500,2894.99,2896.01,1e-05,4.83479e-05,-1,0,0,0,128220,2896,4800,220,-0.0318763,0.00347622,-0.0337827,69034,2896,4797,217,-0.027083,0.0370782,-0.00288356,121554,2896,4803,217,-0.0273247,-0.0364858,-0.00120478,0
50,cycle,1000,2894.99,2896.01,1e-05,1.59753e-05,-1,0,0,0,128220,2896,4800,220,-0.032551,0.00349115,-0.0344561,69034,2896,4797,217,-0.0274697,0.0374864,-0.00290184,121554,2896,4803,217,-0.0277248,-0.0370384,-0.00126801,0
50,conv_1e-5,3000,2894.99,2896.01,1e-05,1.56857e-06,1,4.50694,909,138,128220,2896,4800,220,-0.0327303,0.00354006,-0.0345199,69034,2896,4797,217,-0.0276239,0.0375629,-0.00289932,121554,2896,4803,217,-0.0278234,-0.0370865,-0.00124691,0
51,conv_1e-5,2000,2895.99,2897.01,1e-05,4.91687e-06,1,4.50694,909,138,128220,2896,4800,220,-0.0371521,0.00329822,-0.0585423,69034,2896,4797,217,-0.0324323,0.0540299,-0.00396774,121554,2896,4803,217,-0.0339237,-0.0570447,-0.00248889,0
52,conv_1e-5,2000,2896.99,2898.01,1e-05,5.03835e-06,1,4.50694,906,138,128220,2896,4800,220,-0.041274,0.00291082,-0.0752764,69034,2896,4797,217,-0.0356367,0.066983,-0.00513269,121554,2896,4803,217,-0.0376683,-0.0724569,-0.00399999,0
53,conv_1e-5,2000,2897.99,2899.01,1e-05,4.98095e-06,1,4.50694,906,138,128220,2896,4800,220,-0.0449263,0.00250263,-0.0890571,69034,2896,4797,217,-0.038584,0.0779331,-0.00609732,121554,2896,4803,217,-0.0410255,-0.0852806,-0.00524387,0
54,conv_1e-5,2000,2898.99,2900.01,1e-05,5.01663e-06,1,4.50694,906,138,128220,2896,4800,220,-0.0483091,0.00213331,-0.100758,69034,2896,4797,217,-0.0412201,0.0871586,-0.00694893,121554,2896,4803,217,-0.0438988,-0.0958456,-0.00637571,0
55,conv_1e-5,2000,2899.99,2901.01,1e-05,5.09158e-06,1,4.50694,904,138,128220,2896,4800,220,-0.0512967,0.00175562,-0.110754,69034,2896,4797,217,-0.0435525,0.0950089,-0.00771691,121554,2896,4803,217,-0.046298,-0.104624,-0.00739274,0
56,conv_1e-5,2000,2900.99,2902.01,1e-05,4.9889e-06,1,4.50694,904,138,128220,2896,4800,220,-0.0539429,0.00134929,-0.119204,69034,2896,4797,217,-0.0456047,0.101657,-0.00836639,121554,2896,4803,217,-0.0482822,-0.111929,-0.00826566,0
57,conv_1e-5,2000,2901.99,2903.01,1e-05,5.0142e-06,1,4.50694,904,138,128220,2896,4800,220,-0.0562698,0.000972778,-0.126407,69034,2896,4797,217,-0.0474035,0.107321,-0.00892779,121554,2896,4803,217,-0.0499211,-0.118052,-0.00900518,0
58,conv_1e-5,2000,2902.99,2904.01,1e-05,5.07776e-06,1,4.50694,903,138,128220,2896,4800,220,-0.0583508,0.00060806,-0.132771,69034,2896,4797,217,-0.0489548,0.112108,-0.00941455,121554,2896,4803,217,-0.0512711,-0.12322,-0.00962673,0
59,conv_1e-5,2000,2903.99,2905.01,1e-05,5.15006e-06,1,4.50694,903,138,128220,2896,4800,220,-0.0601937,0.000355719,-0.13843,69034,2896,4797,217,-0.0503026,0.116183,-0.00983462,121554,2896,4803,217,-0.0524086,-0.127582,-0.0101543,0
60,conv_1e-5,2000,2904.99,2906.01,1e-05,4.93865e-06,1,4.50694,902,138,128220,2896,4800,220,-0.0618441,0.000339751,-0.143069,69034,2896,4797,217,-0.0514699,0.119584,-0.0101408,121554,2896,4803,217,-0.0533636,-0.131238,-0.0105673,0
61,conv_1e-5,2000,2905.99,2907.01,1e-05,4.87693e-06,1,4.50694,902,138,128220,2896,4800,220,-0.0633043,0.000368434,-0.14688,69034,2896,4797,217,-0.0524811,0.122436,-0.0103968,121554,2896,4803,217,-0.0541647,-0.134322,-0.0109002,0
62,conv_1e-5,2000,2906.99,2908.01,1e-05,4.88262e-06,1,4.50694,901,138,128220,2896,4800,220,-0.0646179,0.000400049,-0.150107,69034,2896,4797,217,-0.0533438,0.124839,-0.0106078,121554,2896,4803,217,-0.054829,-0.136938,-0.0111734,0
63,conv_1e-5,2000,2907.99,2909.01,1e-05,4.90886e-06,1,4.50694,902,138,128220,2896,4800,220,-0.0658203,0.000473293,-0.152986,69034,2896,4797,217,-0.0540838,0.126865,-0.0107893,121554,2896,4803,217,-0.0553833,-0.139174,-0.0113928,0
64,conv_1e-5,2000,2908.99,2910.01,1e-05,4.84101e-06,1,4.50694,901,138,128220,2896,4800,220,-0.0668922,0.000465684,-0.155457,69034,2896,4797,217,-0.0547084,0.128544,-0.0109405,121554,2896,4803,217,-0.0558415,-0.141039,-0.0115505,0
65,conv_1e-5,2000,2909.99,2911.01,1e-05,4.71936e-06,1,4.50694,901,138,128220,2896,4800,220,-0.0678285,0.000349774,-0.157465,69034,2896,4797,217,-0.0552277,0.129948,-0.0110568,121554,2896,4803,217,-0.0562047,-0.142577,-0.0116541,0
66,conv_1e-5,2000,2910.99,2912.01,1e-05,4.71974e-06,1,4.50694,901,138,128220,2896,4800,220,-0.0686145,0.000264007,-0.15906,69034,2896,4797,217,-0.0556671,0.131112,-0.0111445,121554,2896,4803,217,-0.0565024,-0.143848,-0.0117145,0
67,conv_1e-5,2000,2911.99,2913.01,1e-05,4.72927e-06,1,4.50694,901,138,128220,2896,4800,220,-0.0692911,0.000209899,-0.160345,69034,2896,4797,217,-0.0560245,0.132075,-0.0112102,121554,2896,4803,217,-0.0567453,-0.144915,-0.0117531,0
68,conv_1e-5,2000,2912.99,2914.01,1e-05,4.67833e-06,1,4.50694,900,138,128220,2896,4800,220,-0.0698665,0.000166885,-0.161372,69034,2896,4797,217,-0.0563108,0.132868,-0.011247,121554,2896,4803,217,-0.0569296,-0.145774,-0.011768,0
69,conv_1e-5,2000,2913.99,2915.01,1e-05,4.44529e-06,1,4.50694,900,138,128220,2896,4800,220,-0.0703192,0.000144487,-0.162163,69034,2896,4797,217,-0.0565338,0.133482,-0.0112619,121554,2896,4803,217,-0.057062,-0.146474,-0.0117592,0
70,conv_1e-5,2000,2914.99,2916.01,1e-05,4.3908e-06,1,4.50694,899,138,128220,2896,4800,220,-0.0706685,0.000123171,-0.162761,69034,2896,4797,217,-0.0566962,0.133958,-0.0112645,121554,2896,4803,217,-0.0571485,-0.147031,-0.0117463,0
71,conv_1e-5,2000,2915.99,2917.01,1e-05,4.47408e-06,1,4.50694,898,138,128220,2896,4800,220,-0.0709309,8.87512e-05,-0.163229,69034,2896,4797,217,-0.0568039,0.13433,-0.0112524,121554,2896,4803,217,-0.0571991,-0.147497,-0.0117239,0
72,conv_1e-5,2000,2916.99,2918.01,1e-05,4.5483e-06,1,4.50694,897,138,128220,2896,4800,220,-0.0711282,5.50083e-05,-0.163592,69034,2896,4797,217,-0.0568695,0.134622,-0.0112451,121554,2896,4803,217,-0.0572134,-0.147868,-0.0116991,0
73,conv_1e-5,2000,2917.99,2919.01,1e-05,4.29213e-06,1,4.50694,897,138,128220,2896,4800,220,-0.0712563,3.84921e-05,-0.163846,69034,2896,4797,217,-0.0568886,0.134827,-0.01123,121554,2896,4803,217,-0.0571981,-0.148175,-0.0116628,0
74,conv_1e-5,2000,2918.99,2920.01,1e-05,4.2433e-06,1,4.50694,897,138,128220,2896,4800,220,-0.0713256,1.8279e-05,-0.164028,69034,2896,4797,217,-0.056876,0.134974,-0.0112105,121554,2896,4803,217,-0.0571545,-0.148399,-0.0116256,0
75,conv_1e-5,2000,2919.99,2921.01,1e-05,4.14412e-06,1,4.50694,895,138,128220,2896,4800,220,-0.0713496,6.24227e-06,-0.164153,69034,2896,4797,217,-0.0568381,0.135087,-0.0111899,121554,2896,4803,217,-0.0570888,-0.148585,-0.011585,0
76,conv_1e-5,2000,2920.99,2922.01,1e-05,4.19698e-06,1,4.50694,894,138,128220,2896,4800,220,-0.0713381,-1.34465e-06,-0.164236,69034,2896,4797,217,-0.0567782,0.13516,-0.0111702,121554,2896,4803,217,-0.057004,-0.148721,-0.0115472,0
77,conv_1e-5,2000,2921.99,2923.01,1e-05,4.08306e-06,1,4.50694,894,138,128220,2896,4800,220,-0.0712963,-7.83741e-06,-0.164286,69034,2896,4797,217,-0.0567029,0.13521,-0.0111478,121554,2896,4803,217,-0.0569027,-0.148822,-0.0115082,0
78,conv_1e-5,2000,2922.99,2924.01,1e-05,4.01986e-06,1,4.50694,891,138,128220,2896,4800,220,-0.0712324,-1.43175e-05,-0.164313,69034,2896,4797,217,-0.0566137,0.135238,-0.0111259,121554,2896,4803,217,-0.0567927,-0.1489,-0.0114712,0
79,conv_1e-5,2000,2923.99,2925.01,1e-05,3.85252e-06,1,4.50694,890,138,128220,2896,4800,220,-0.0711504,-2.14237e-05,-0.164322,69034,2896,4797,217,-0.0565136,0.135251,-0.0111038,121554,2896,4803,217,-0.0566738,-0.148958,-0.0114373,0
80,conv_1e-5,2000,2924.99,2926.01,1e-05,4.0048e-06,1,4.50694,891,138,128220,2896,4800,220,-0.0710555,-2.9248e-05,-0.164318,69034,2896,4797,217,-0.0564058,0.135251,-0.0110827,121554,2896,4803,217,-0.0565498,-0.149,-0.011406,0
81,conv_1e-5,2000,2925.99,2927.01,1e-05,4.07996e-06,1,4.50694,890,138,128220,2896,4800,220,-0.0709502,-3.71933e-05,-0.164308,69034,2896,4797,217,-0.0562921,0.135246,-0.0110618,121554,2896,4803,217,-0.05642,-0.14903,-0.0113773,0
82,conv_1e-5,2000,2926.99,2928.01,1e-05,3.78455e-06,1,4.50694,889,138,128220,2896,4800,220,-0.0708389,-4.5425e-05,-0.164294,69034,2896,4797,217,-0.056176,0.135238,-0.0110408,121554,2896,4803,217,-0.0562881,-0.149055,-0.0113503,0
83,conv_1e-5,2000,2927.99,2929.01,1e-05,3.82147e-06,1,4.50694,887,138,128220,2896,4800,220,-0.0707241,-5.38519e-05,-0.164276,69034,2896,4797,217,-0.0560573,0.135227,-0.0110205,121554,2896,4803,217,-0.0561538,-0.149073,-0.0113269,0
84,conv_1e-5,2000,2928.99,2930.01,1e-05,3.87134e-06,1,4.50694,887,138,128220,2896,4800,220,-0.0706061,-6.21264e-05,-0.164257,69034,2896,4797,217,-0.0559367,0.135214,-0.0110009,121554,2896,4803,217,-0.0560191,-0.149087,-0.0113052,0
85,conv_1e-5,2000,2929.99,2931.01,1e-05,3.89086e-06,1,4.50694,887,138,128220,2896,4800,220,-0.0704846,-7.05847e-05,-0.164237,69034,2896,4797,217,-0.0558133,0.135201,-0.0109816,121554,2896,4803,217,-0.0558818,-0.149097,-0.0112862,0
86,conv_1e-5,2000,2930.99,2932.01,1e-05,3.88e-06,1,4.50694,886,138,128220,2896,4800,220,-0.0703623,-7.8654e-05,-0.164218,69034,2896,4797,217,-0.0556889,0.135188,-0.0109631,121554,2896,4803,217,-0.0557442,-0.149105,-0.0112687,0
87,conv_1e-5,2000,2931.99,2933.01,1e-05,3.80274e-06,1,4.50694,886,138,128220,2896,4800,220,-0.0702397,-8.6515e-05,-0.164201,69034,2896,4797,217,-0.0555646,0.135176,-0.0109454,121554,2896,4803,217,-0.0556076,-0.149112,-0.0112534,0
