zid x y z sxx syy szz sxy sxz syz
10305 2609 4790.5 200.743 -5.40749e+06 -4.41908e+06 -3.34867e+06 -401602 14154.4 11166.3
10306 2611 4790.5 200.743 -5.40413e+06 -4.42257e+06 -3.34749e+06 -409702 12721.4 9741.65
10307 2613 4790.5 200.743 -5.40185e+06 -4.43021e+06 -3.35064e+06 -416434 11438 8337.78
10308 2615 4790.5 200.743 -5.40435e+06 -4.43919e+06 -3.35685e+06 -420855 10172.2 6742.94
10309 2617 4790.5 200.743 -5.40821e+06 -4.44908e+06 -3.36481e+06 -422733 8678.08 4819.2
10310 2619 4790.5 200.743 -5.41071e+06 -4.45832e+06 -3.37133e+06 -423018 6532.28 2756.72
10311 2621 4790.5 200.743 -5.4071e+06 -4.46883e+06 -3.37686e+06 -422884 4102.34 849.617
10312 2623 4790.5 200.743 -5.40496e+06 -4.47986e+06 -3.38292e+06 -424180 1822.1 -1218.24
10313 2625 4790.5 200.743 -5.40396e+06 -4.4897e+06 -3.38895e+06 -425793 -787.794 -3629.41
10314 2627 4790.5 200.743 -5.40277e+06 -4.49864e+06 -3.39486e+06 -426988 -3671.57 -6150.43
10315 2629 4790.5 200.743 -5.40183e+06 -4.50692e+06 -3.40115e+06 -428152 -7184.01 -8322.69
10316 2631 4790.5 200.743 -5.4004e+06 -4.5148e+06 -3.40813e+06 -429548 -10627.3 -9877.28
10317 2633 4790.5 200.743 -5.40171e+06 -4.52184e+06 -3.41624e+06 -431194 -13194.5 -11607.6
10318 2635 4790.5 200.743 -5.40709e+06 -4.53047e+06 -3.42535e+06 -429118 -15422.1 -14045.7
10319 2637 4790.5 200.743 -5.40059e+06 -4.53625e+06 -3.42855e+06 -425376 -17710.8 -16854.3
10320 2639 4790.5 200.743 -5.39945e+06 -4.54391e+06 -3.43293e+06 -421252 -21161 -19097.9
10321 2641 4790.5 200.743 -5.39145e+06 -4.5496e+06 -3.43602e+06 -416682 -24632.2 -20628.1
10322 2643 4790.5 200.743 -5.38858e+06 -4.55506e+06 -3.44115e+06 -414054 -27458.8 -22661.5
10323 2645 4790.5 200.743 -5.38577e+06 -4.55803e+06 -3.44589e+06 -410113 -29563.9 -25218.8
10324 2647 4790.5 200.743 -5.38406e+06 -4.56147e+06 -3.44993e+06 -404086 -30430.6 -27996.1
10325 2649 4790.5 200.743 -5.38198e+06 -4.56738e+06 -3.4532e+06 -395658 -33127 -30082.7
10326 2651 4790.5 200.743 -5.36952e+06 -4.57393e+06 -3.45546e+06 -391616 -36731.6 -31120.5
10327 2653 4790.5 200.743 -5.37652e+06 -4.5883e+06 -3.47022e+06 -391716 -41228.7 -32390.1
