Mileage,X_local,Y_local,Z_crown
1808.0,2482.1790764469965,4744.886627891676,222.5675
1809.0,2481.2372671579724,4744.550480211172,222.57093749999999
1810.0,2480.2954578689487,4744.214332530668,222.574375
1811.0,2479.353648579925,4743.878184850163,222.5778125
1812.0,2478.411839290901,4743.542037169659,222.58125
1813.0,2477.47003000187,4743.205889489175,222.5846875
1814.0,2476.528220712827,4742.869741808723,222.588125
1815.0,2475.5864114237847,4742.533594128271,222.5915625
1816.0,2474.6446021347424,4742.197446447819,222.595
1817.0,2473.7027928456996,4741.861298767367,222.5984375
1818.0,2472.7609835566573,4741.525151086915,222.601875
1819.0,2471.819174267632,4741.189003406414,222.6053125
1820.0,2470.8773649791174,4740.852855724484,222.60875
1821.0,2469.9355556906025,4740.516708042553,222.6121875
1822.0,2468.9937464020877,4740.180560360623,222.615625
1823.0,2468.0519371135733,4739.844412678692,222.6190625
1824.0,2467.1101278250585,4739.508264996762,222.6225
1825.0,2466.1683185365437,4739.172117314831,222.6259375
1826.0,2465.2265092476846,4738.835969633865,222.629375
1827.0,2464.2846999586595,4738.499821953364,222.6328125
1828.0,2463.3428906696345,4738.163674272862,222.63625
1829.0,2462.40108138061,4737.827526592361,222.6396875
1830.0,2461.459272091585,4737.49137891186,222.643125
1831.0,2460.5174628025597,4737.155231231359,222.6465625
1832.0,2459.5756535135356,4736.819083550857,222.65
1833.0,2458.6338442245114,4736.482935870352,222.6534375
1834.0,2457.6920349354878,4736.146788189848,222.65687499999999
1835.0,2456.7502256464636,4735.810640509344,222.6603125
1836.0,2455.80841635744,4735.474492828839,222.66375
1837.0,2454.866607068416,4735.138345148335,222.6671875
1838.0,2453.924797779392,4734.802197467831,222.670625
1839.0,2452.9829884908568,4734.466049785959,222.6740625
1840.0,2452.041179202342,4734.129902104028,222.6775
1841.0,2451.099369913827,4733.793754422098,222.6809375
1842.0,2450.1575606253123,4733.457606740167,222.684375
1843.0,2449.2157513367974,4733.121459058237,222.6878125
1844.0,2448.2739420482826,4732.785311376306,222.69125
1845.0,2447.3321327594617,4732.4491636952325,222.6946875
1846.0,2446.390323470438,4732.113016014729,222.698125
1847.0,2445.448514181414,4731.776868334225,222.7015625
1848.0,2444.50670489239,4731.44072065372,222.705
1849.0,2443.5648956033665,4731.104572973216,222.7084375
1850.0,2442.6230863143423,4730.768425292712,222.711875
1851.0,2441.681277025314,4730.43227761222,222.7153125
1852.0,2440.7394677362713,4730.096129931768,222.71875
1853.0,2439.797658447229,4729.759982251316,222.7221875
1854.0,2438.8558491581866,4729.4238345708645,222.725625
1855.0,2437.914039869144,4729.087686890412,222.7290625
1856.0,2436.9722305801015,4728.75153920996,222.7325
1857.0,2436.030421291059,4728.415391529508,222.7359375
1858.0,2435.0886120020527,4728.079243848954,222.739375
1859.0,2434.146802713051,4727.743096168389,222.74281249999999
1860.0,2433.204993424049,4727.406948487822,222.74625
1861.0,2432.2631841350476,4727.070800807256,222.7496875
1862.0,2431.3213748460457,4726.734653126689,222.753125
1863.0,2430.379565557044,4726.398505446124,222.7565625
1864.0,2429.437756268287,4726.062357764872,222.76
1865.0,2428.495946979749,4725.726210083007,222.7634375
1866.0,2427.554137691211,4725.39006240114,222.766875
1867.0,2426.612328402673,4725.053914719275,222.7703125
1868.0,2425.670519114135,4724.717767037409,222.77375
1869.0,2424.728709825597,4724.381619355544,222.7771875
1870.0,2423.7869005369807,4724.045471673898,222.780625
1871.0,2422.8450912479802,4723.709323993329,222.7840625
1872.0,2421.9032819589793,4723.37317631276,222.7875
1873.0,2420.961472669979,4723.03702863219,222.79093749999998
1874.0,2420.0196633809783,4722.700880951621,222.794375
1875.0,2419.0778540919773,4722.3647332710525,222.7978125
1876.0,2418.136044802977,4722.028585590483,222.80125
1877.0,2417.1942355139563,4721.692437909969,222.8046875
1878.0,2416.2524262249317,4721.356290229467,222.808125
1879.0,2415.3106169359066,4721.020142548966,222.8115625
1880.0,2414.368807646882,4720.683994868465,222.81389461875
1881.0,2413.426998357857,4720.347847187963,222.814
1882.0,2412.485189068832,4720.011699507462,222.813
1883.0,2411.543379780028,4719.675551826343,222.81199999999998
1884.0,2410.60157049149,4719.339404144476,222.811
1885.0,2409.6597612029523,4719.003256462611,222.81
1886.0,2408.7179519144142,4718.667108780745,222.809
1887.0,2407.776142625876,4718.33096109888,222.808
1888.0,2406.834333337338,4717.9948134170145,222.807
1889.0,2405.892524048756,4717.658665735273,222.80599999999998
1890.0,2404.9507147597556,4717.322518054703,222.805
1891.0,2404.0089054707546,4716.986370374134,222.804
1892.0,2403.067096181754,4716.650222693565,222.803
1893.0,2402.125286892753,4716.314075012996,222.802
1894.0,2401.1834776037526,4715.977927332427,222.801
1895.0,2400.241668314752,4715.641779651857,222.79999999999998
1896.0,2399.2998590257334,4715.305631971339,222.799
1897.0,2398.3580497367084,4714.9694842908375,222.798
1898.0,2397.416240447684,4714.633336610335,222.797
1899.0,2396.4744311586587,4714.297188929834,222.796
1900.0,2395.532621869634,4713.961041249333,222.795
1901.0,2394.590812580609,4713.624893568832,222.79399999999998
1902.0,2393.6490032915776,4713.288745888349,222.793
1903.0,2392.707194002535,4712.952598207897,222.792
1904.0,2391.7653847134925,4712.6164505274455,222.791
1905.0,2390.82357542445,4712.280302846993,222.79
1906.0,2389.8817661354074,4711.944155166541,222.789
1907.0,2388.939956846365,4711.608007486089,222.78799999999998
