step_pair,phase,cycle,L_xmin,L_xmax,R_xmin,R_xmax,ratio_target,ratio_local,converged,box_id,monitor_x,boundary,target_coord,actual_coord,gp_id,x,y,z,ux,uy,uz
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,67298,2558.0,4791.0,212.91666666666666,0.00367803,0.00930121,-0.00260655
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,69055,2558.0,4791.0,214.5,0.0037411,0.0104814,-0.00350192
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,140590,2558.0,4791.0,215.0,0.00375518,0.0107916,-0.00385893
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,142347,2558.0,4791.0,215.5,0.00376544,0.01106,-0.00424734
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,144104,2558.0,4791.0,216.0,0.00377093,0.0112758,-0.00466245
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,145861,2558.0,4791.0,216.5,0.00377148,0.0114303,-0.00509655
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,147618,2558.0,4791.0,217.0,0.00376661,0.0115173,-0.0055405
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,149375,2558.0,4791.0,217.5,0.00375669,0.0115349,-0.00598348
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,151132,2558.0,4791.0,218.0,0.00374168,0.0114844,-0.00641478
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,152889,2558.0,4791.0,218.5,0.00372225,0.0113711,-0.00682459
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,154646,2558.0,4791.0,219.0,0.00369868,0.011203,-0.00720498
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,156403,2558.0,4791.0,219.5,0.00367205,0.0109905,-0.00755031
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,158160,2558.0,4791.0,220.0,0.00364298,0.010743,-0.00785812
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,252285,2558.0,4791.0,222.16666666666666,0.00350474,0.00949131,-0.00878003
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,254042,2558.0,4791.0,224.33333333333334,0.0033776,0.00836007,-0.00914675
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,255799,2558.0,4791.0,226.5,0.0032278,0.00715099,-0.00925164
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,257556,2558.0,4791.0,228.66666666666666,0.00295963,0.00572413,-0.00933297
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,259313,2558.0,4791.0,230.83333333333334,0.00265493,0.00473287,-0.00919271
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,261070,2558.0,4791.0,233.0,0.0023786,0.00389024,-0.00903017
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,zmax,242.0,238.9612518628912,315035,2558.0,4791.0,238.9612518628912,0.0018327,0.00248182,-0.0088855
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,zmin,192.0,196.48648648648648,13835,2558.0,4792.0,196.48648648648648,0.00329481,0.00269502,-0.00121847
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,15592,2558.0,4792.0,205.0,0.00335211,0.00439577,-0.00121663
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,60521,2558.0,4792.0,206.58333333333334,0.00340296,0.00507371,-0.00121007
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,62278,2558.0,4792.0,208.16666666666666,0.00346897,0.00590776,-0.00124081
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,64035,2558.0,4792.0,209.75,0.00355132,0.0069422,-0.00135067
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,65792,2558.0,4792.0,211.33333333333334,0.00364942,0.00820732,-0.0016163
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,67549,2558.0,4792.0,212.91666666666666,0.00375646,0.00968888,-0.00216272
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,69306,2558.0,4792.0,214.5,0.00385228,0.0112322,-0.00315136
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,140841,2558.0,4792.0,215.0,0.00387479,0.0116564,-0.00357308
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,142598,2558.0,4792.0,215.5,0.00389205,0.0120266,-0.00404663
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,144355,2558.0,4792.0,216.0,0.00390247,0.0123229,-0.00456321
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,146112,2558.0,4792.0,216.5,0.00390546,0.0125286,-0.00511186
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,147869,2558.0,4792.0,217.0,0.00390086,0.0126314,-0.0056762
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,149626,2558.0,4792.0,217.5,0.00388828,0.0126265,-0.00623809
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,151383,2558.0,4792.0,218.0,0.00386836,0.0125176,-0.00677915
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,153140,2558.0,4792.0,218.5,0.00384213,0.0123152,-0.00728346
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,154897,2558.0,4792.0,219.0,0.00381003,0.0120355,-0.00773918
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,156654,2558.0,4792.0,219.5,0.00377337,0.0116992,-0.00813948
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,158411,2558.0,4792.0,220.0,0.0037335,0.0113278,-0.00848254
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,252536,2558.0,4792.0,222.16666666666666,0.00354174,0.00956198,-0.00937637
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,254293,2558.0,4792.0,224.33333333333334,0.00336218,0.00810343,-0.0096177
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,256050,2558.0,4792.0,226.5,0.00321287,0.00677422,-0.00971088
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,257807,2558.0,4792.0,228.66666666666666,0.00304938,0.00550735,-0.00973109
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,259564,2558.0,4792.0,230.83333333333334,0.00270734,0.00446854,-0.0093487
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,261321,2558.0,4792.0,233.0,0.00241533,0.0036665,-0.00909625
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,zmax,242.0,238.9612518628912,315286,2558.0,4792.0,238.9612518628912,0.00185167,0.00234911,-0.00887174
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,zmin,192.0,196.48648648648648,14086,2558.0,4793.0,196.48648648648648,0.00329549,0.00259633,-0.00121113
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,15843,2558.0,4793.0,205.0,0.00334971,0.00421208,-0.00107935
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,60772,2558.0,4793.0,206.58333333333334,0.00340295,0.00489204,-0.00101254
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,62529,2558.0,4793.0,208.16666666666666,0.00347521,0.00574824,-0.000963057
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,64286,2558.0,4793.0,209.75,0.00357121,0.00685009,-0.000979605
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,66043,2558.0,4793.0,211.33333333333334,0.00369342,0.00826831,-0.00115631
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,67800,2558.0,4793.0,212.91666666666666,0.00383633,0.0100512,-0.00165412
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,69557,2558.0,4793.0,214.5,0.00397428,0.0120884,-0.00271798
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,141092,2558.0,4793.0,215.0,0.00400892,0.0126853,-0.00321052
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,142849,2558.0,4793.0,215.5,0.00403585,0.0132169,-0.00377821
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,144606,2558.0,4793.0,216.0,0.00405283,0.0136457,-0.00442026
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,146363,2558.0,4793.0,216.5,0.00405867,0.0139352,-0.0051139
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,148120,2558.0,4793.0,217.0,0.00405314,0.0140626,-0.00583284
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,149877,2558.0,4793.0,217.5,0.00403638,0.0140192,-0.00654572
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,151634,2558.0,4793.0,218.0,0.00400947,0.0138128,-0.00722151
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,153391,2558.0,4793.0,218.5,0.0039735,0.0134663,-0.00783436
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,155148,2558.0,4793.0,219.0,0.00393057,0.0130123,-0.00836811
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,156905,2558.0,4793.0,219.5,0.00388225,0.0124888,-0.0088139
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,158662,2558.0,4793.0,220.0,0.00382947,0.0119328,-0.00917315
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,252787,2558.0,4793.0,222.16666666666666,0.00357891,0.00954067,-0.0099653
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,254544,2558.0,4793.0,224.33333333333334,0.0033545,0.00779365,-0.0100315
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,256301,2558.0,4793.0,226.5,0.00319607,0.00642056,-0.00988483
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,258058,2558.0,4793.0,228.66666666666666,0.0031001,0.00538079,-0.00972577
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,259815,2558.0,4793.0,230.83333333333334,0.00275567,0.00413989,-0.0094432
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,261572,2558.0,4793.0,233.0,0.00244705,0.0034193,-0.00914765
