box_id,monitor_x,boundary,target_coord,actual_coord,gp_id,x,y,z
sub_2608,2608.0,xmin,2558.0,2558.0,315537,2558.0,4793.0,238.9612518628912
sub_2608,2608.0,xmin,2558.0,2558.0,14337,2558.0,4794.0,196.48648648648648
sub_2608,2608.0,xmin,2558.0,2558.0,16094,2558.0,4794.0,205.0
sub_2608,2608.0,xmin,2558.0,2558.0,61023,2558.0,4794.0,206.58333333333334
sub_2608,2608.0,xmin,2558.0,2558.0,62780,2558.0,4794.0,208.16666666666666
sub_2608,2608.0,xmin,2558.0,2558.0,64537,2558.0,4794.0,209.75
sub_2608,2608.0,xmin,2558.0,2558.0,66294,2558.0,4794.0,211.33333333333334
sub_2608,2608.0,xmin,2558.0,2558.0,68051,2558.0,4794.0,212.91666666666666
sub_2608,2608.0,xmin,2558.0,2558.0,69808,2558.0,4794.0,214.5
sub_2608,2608.0,xmin,2558.0,2558.0,141343,2558.0,4794.0,215.0
sub_2608,2608.0,xmin,2558.0,2558.0,143100,2558.0,4794.0,215.5
sub_2608,2608.0,xmin,2558.0,2558.0,144857,2558.0,4794.0,216.0
sub_2608,2608.0,xmin,2558.0,2558.0,146614,2558.0,4794.0,216.5
sub_2608,2608.0,xmin,2558.0,2558.0,148371,2558.0,4794.0,217.0
sub_2608,2608.0,xmin,2558.0,2558.0,150128,2558.0,4794.0,217.5
sub_2608,2608.0,xmin,2558.0,2558.0,151885,2558.0,4794.0,218.0
sub_2608,2608.0,xmin,2558.0,2558.0,153642,2558.0,4794.0,218.5
sub_2608,2608.0,xmin,2558.0,2558.0,155399,2558.0,4794.0,219.0
sub_2608,2608.0,xmin,2558.0,2558.0,157156,2558.0,4794.0,219.5
sub_2608,2608.0,xmin,2558.0,2558.0,158913,2558.0,4794.0,220.0
sub_2608,2608.0,xmin,2558.0,2558.0,253038,2558.0,4794.0,222.16666666666666
sub_2608,2608.0,xmin,2558.0,2558.0,254795,2558.0,4794.0,224.33333333333334
sub_2608,2608.0,xmin,2558.0,2558.0,256552,2558.0,4794.0,226.5
sub_2608,2608.0,xmin,2558.0,2558.0,258309,2558.0,4794.0,228.66666666666666
sub_2608,2608.0,xmin,2558.0,2558.0,260066,2558.0,4794.0,230.83333333333334
sub_2608,2608.0,xmin,2558.0,2558.0,261823,2558.0,4794.0,233.0
sub_2608,2608.0,xmin,2558.0,2558.0,315788,2558.0,4794.0,238.9612518628912
sub_2608,2608.0,xmin,2558.0,2558.0,14588,2558.0,4795.0,196.48648648648648
sub_2608,2608.0,xmin,2558.0,2558.0,16345,2558.0,4795.0,205.0
sub_2608,2608.0,xmin,2558.0,2558.0,61274,2558.0,4795.0,206.58333333333334
sub_2608,2608.0,xmin,2558.0,2558.0,63031,2558.0,4795.0,208.16666666666666
sub_2608,2608.0,xmin,2558.0,2558.0,64788,2558.0,4795.0,209.75
sub_2608,2608.0,xmin,2558.0,2558.0,66545,2558.0,4795.0,211.33333333333334
sub_2608,2608.0,xmin,2558.0,2558.0,68302,2558.0,4795.0,212.91666666666666
sub_2608,2608.0,xmin,2558.0,2558.0,70059,2558.0,4795.0,214.5
sub_2608,2608.0,xmin,2558.0,2558.0,141594,2558.0,4795.0,215.0
sub_2608,2608.0,xmin,2558.0,2558.0,143351,2558.0,4795.0,215.5
sub_2608,2608.0,xmin,2558.0,2558.0,145108,2558.0,4795.0,216.0
sub_2608,2608.0,xmin,2558.0,2558.0,146865,2558.0,4795.0,216.5
sub_2608,2608.0,xmin,2558.0,2558.0,148622,2558.0,4795.0,217.0
sub_2608,2608.0,xmin,2558.0,2558.0,150379,2558.0,4795.0,217.5
sub_2608,2608.0,xmin,2558.0,2558.0,152136,2558.0,4795.0,218.0
sub_2608,2608.0,xmin,2558.0,2558.0,153893,2558.0,4795.0,218.5
sub_2608,2608.0,xmin,2558.0,2558.0,155650,2558.0,4795.0,219.0
sub_2608,2608.0,xmin,2558.0,2558.0,157407,2558.0,4795.0,219.5
sub_2608,2608.0,xmin,2558.0,2558.0,159164,2558.0,4795.0,220.0
sub_2608,2608.0,xmin,2558.0,2558.0,253289,2558.0,4795.0,222.16666666666666
sub_2608,2608.0,xmin,2558.0,2558.0,255046,2558.0,4795.0,224.33333333333334
sub_2608,2608.0,xmin,2558.0,2558.0,256803,2558.0,4795.0,226.5
sub_2608,2608.0,xmin,2558.0,2558.0,258560,2558.0,4795.0,228.66666666666666
sub_2608,2608.0,xmin,2558.0,2558.0,260317,2558.0,4795.0,230.83333333333334
sub_2608,2608.0,xmin,2558.0,2558.0,262074,2558.0,4795.0,233.0
sub_2608,2608.0,xmin,2558.0,2558.0,316039,2558.0,4795.0,238.9612518628912
sub_2608,2608.0,xmin,2558.0,2558.0,14839,2558.0,4796.0,196.48648648648648
sub_2608,2608.0,xmin,2558.0,2558.0,16596,2558.0,4796.0,205.0
