Mileage,excavation_distance_m,X_local,Y_local,Z_crown,Z_topography,overburden_m,formation_nearest,formation_used
2509.0,2509.0109890116137,1821.970764940571,4509.247103579999,222.18824967311085,323.60992431640625,101.4216746432954,SH_ST,SH_ST
2510.0,2510.010989503285,1821.028955651546,4508.910955899498,222.187258036208,323.7375793457031,101.55032130949516,SH_ST,SH_ST
2511.0,2511.0109899949566,1820.0871463625213,4508.574808218997,222.186266399305,323.865234375,101.678967975695,SH_ST,SH_ST
2512.0,2512.010990486629,1819.145337073504,4508.238660538473,222.1852747624021,323.99285888671875,101.80758412431666,SH_ST,SH_ST
2513.0,2513.0109909783005,1818.2035277849905,4507.90251285654,222.18428312549912,324.1205139160156,101.9362307905165,SH_ST,SH_ST
2514.0,2514.0109914699724,1817.2617184964768,4507.566365174606,222.18329148859613,324.2481384277344,102.06484693913822,SH_ST,SH_ST
2515.0,2515.0109919616443,1816.319909207963,4507.230217492673,222.18229985169324,324.37579345703125,102.193493605338,SH_ST,SH_ST
2516.0,2516.010992453316,1815.3780999194487,4506.894069810739,222.1813082147904,324.50341796875,102.32210975395964,SH_ST,SH_ST
2517.0,2517.010992944988,1814.436290630936,4506.557922128805,222.1803165778874,324.6996765136719,102.51935993578448,SH_ST,SH_ST
2518.0,2518.01099343666,1813.4944813424213,4506.221774446873,222.1793249409845,324.97760009765625,102.79827515667176,SH_ST,SH_ST
2519.0,2519.010993928331,1812.552672053572,4505.88562676588,222.17833330408152,325.2554931640625,103.07715985998098,SH_ST,SH_ST
2520.0,2520.0109944200026,1811.6108627645472,4505.549479085379,222.17734166717847,325.53338623046875,103.3560445632902,SH_ST,SH_ST
2521.0,2521.0109949116745,1810.669053475522,4505.213331404878,222.17635003027564,325.811279296875,103.63492926659936,SH_ST,SH_ST
2522.0,2522.010995403346,1809.7272441864973,4504.877183724377,222.1753583933728,326.0892028808594,103.9138444874866,SH_ST,SH_ST
2523.0,2523.010995895017,1808.7854348974724,4504.541036043876,222.1743667564698,326.3670959472656,104.19272919079584,SH_ST,SH_ST
2524.0,2524.010996386689,1807.843625608448,4504.204888363374,222.17337511956688,326.6449890136719,104.471613894105,SH_ST,SH_ST
2525.0,2525.0109968783613,1806.9018163194223,4503.868740682873,222.17238348266392,326.9228820800781,104.7504985974142,SH_ST,SH_ST
2526.0,2526.010997370033,1805.9600070303973,4503.532593002371,222.1713918457609,327.2007751464844,105.02938330072342,SH_ST,SH_ST
2527.0,2527.0109978617047,1805.018197741373,4503.19644532187,222.17040020885804,327.47869873046875,105.30829852161072,SH_ST,SH_ST
2528.0,2528.010998353376,1804.076388452348,4502.860297641369,222.1694085719552,327.756591796875,105.58718322491984,SH_ST,SH_ST
2529.0,2529.010998845048,1803.1345791633232,4502.524149960867,222.1684169350522,328.03448486328125,105.86606792822906,SH_ST,SH_ST
2530.0,2530.010999336719,1802.1927698742984,4502.188002280366,222.16742529814923,328.3123779296875,106.14495263153827,SH_ST,SH_ST
2531.0,2531.010999828391,1801.250960585273,4501.851854599865,222.16643366124632,328.5903015136719,106.42386785242556,SH_ST,SH_ST
2532.0,2532.0110003200625,1800.3091512962494,4501.515706919361,222.1654420243433,328.8681945800781,106.70275255573478,SH_ST,SH_ST
2533.0,2533.0110008117344,1799.3673420072255,4501.179559238856,222.16445038744044,329.1460876464844,106.98163725904394,SH_ST,SH_ST
2534.0,2534.0110013034064,1798.4255327182016,4500.843411558352,222.1634587505376,329.4239807128906,107.26052196235308,SH_ST,SH_ST
2535.0,2535.011001795078,1797.483723429178,4500.507263877848,222.1624671136346,329.7018737792969,107.53940666566228,SH_ST,SH_ST
2536.0,2536.0110022867498,1796.541914140154,4500.171116197344,222.16147547673165,329.97979736328125,107.8183218865496,SH_ST,SH_ST
2537.0,2537.0110027784217,1795.60010485113,4499.83496851684,222.16048383982871,330.2576904296875,108.0972065898588,SH_ST,SH_ST
2538.0,2538.0110032700936,1794.658295562393,4499.498820835532,222.1594922029257,330.5355834960937,108.376091293168,SH_ST,SH_ST
2539.0,2539.011003761765,1793.7164862738607,4499.162673153651,222.15850056602284,330.8134765625,108.65497599647716,SH_ST,SH_ST
2540.0,2540.011004253437,1792.7746769853284,4498.826525471769,222.15750892912,331.0946350097656,108.93712608064568,SH_ST,SH_ST
2541.0,2541.0110047451085,1791.832867696796,4498.490377789888,222.156517292217,331.56317138671875,109.40665409450176,SH_ST,SH_ST
2542.0,2542.0110052367804,1790.8910584082637,4498.154230108006,222.15552565531405,332.0317077636719,109.87618210835782,SH_ST,SH_ST
2543.0,2543.0110057284523,1789.9492491197311,4497.818082426125,222.1545340184111,332.5002746582031,110.345740639792,SH_ST,SH_ST
2544.0,2544.011006220124,1789.0074398310876,4497.481934744556,222.1535423815081,332.96881103515625,110.8152686536481,SH_ST,SH_ST
2545.0,2545.011006711796,1788.0656305420628,4497.145787064054,222.15255074460524,333.4373779296875,111.28482718508226,SH_ST,SH_ST
2546.0,2546.011007203467,1787.123821253038,4496.809639383553,222.1515591077023,333.9059143066406,111.75435519893831,SH_ST,SH_ST
2547.0,2547.0110076951387,1786.182011964013,4496.473491703052,222.1505674707994,334.3744812011719,112.22391373037247,SH_ST,SH_ST
2548.0,2548.01100818681,1785.2402026749885,4496.137344022551,222.14957583389645,334.843017578125,112.69344174422856,SH_ST,SH_ST
2549.0,2549.0110086784825,1784.2983933859632,4495.801196342049,222.1485841969935,335.1246337890625,112.976049592069,SH_ST,SH_ST
2550.0,2550.011009170154,1783.3565840969384,4495.465048661547,222.14759256009057,335.3120422363281,113.16444967623757,SH_ST,SH_ST
2551.0,2551.011009661826,1782.4147748079145,4495.128900981043,222.14660092318763,335.4994812011719,113.35288027798424,SH_ST,SH_ST
2552.0,2552.0110101534974,1781.4729655188903,4494.79275330054,222.1456092862847,335.6868896484375,113.5412803621528,SH_ST,SH_ST
2553.0,2553.0110106451693,1780.5311562298666,4494.456605620036,222.1446176493818,335.8742980957031,113.72968044632134,SH_ST,SH_ST
2554.0,2554.0110111368413,1779.5893469408427,4494.120457939531,222.14362601247885,336.0617370605469,113.91811104806804,SH_ST,SH_ST
2555.0,2555.011011628513,1778.6475376518188,4493.784310259027,222.1426343755759,336.2491455078125,114.1065111322366,SH_ST,SH_ST
2556.0,2556.0110121201847,1777.705728362795,4493.448162578523,222.14164273867297,336.36505126953125,114.22340853085828,SH_ST,SH_ST
2557.0,2557.0110126118566,1776.7639190740306,4493.112014897291,222.14065110177003,336.2982482910156,114.1575971892456,SH_ST,SH_ST
2558.0,2558.0110131035285,1775.822109785516,4492.77586721536,222.1396594648671,336.2314758300781,114.09181636521105,SH_ST,SH_ST
2559.0,2559.0110135952,1774.8803004970011,4492.43971953343,222.13866782796416,336.1647033691406,114.02603554117648,SH_ST,SH_ST
2560.0,2560.0110140868715,1773.9384912084863,4492.1035718515,222.13767619106125,336.097900390625,113.96022419956375,SH_ST,SH_ST
2561.0,2561.0110145785434,1772.9966819199717,4491.7674241695695,222.1366845541583,336.0311279296875,113.8944433755292,SH_ST,SH_ST
2562.0,2562.011015070216,1772.0548726314569,4491.431276487639,222.13569291725537,335.96435546875,113.82866255149465,SH_ST,SH_ST
2563.0,2563.011015561887,1771.1130633428647,4491.095128805925,222.13470128035243,335.8975830078125,113.76288172746008,SH_ST,SH_ST
2564.0,2564.0110160535583,1770.17125405384,4490.758981125424,222.1337096434495,335.8307800292969,113.69707038584738,SH_ST,SH_ST
2565.0,2565.01101654523,1769.2294447648148,4490.422833444923,222.13271800654653,335.7640075683594,113.63128956181282,SH_ST,SH_ST
2566.0,2566.0110170369016,1768.28763547579,4490.086685764421,222.13172636964364,335.6972351074219,113.56550873777825,SH_ST,SH_ST
2567.0,2567.011017528573,1767.3458261867652,4489.75053808392,222.1307347327407,335.63043212890625,113.49969739616554,SH_ST,SH_ST
2568.0,2568.011018020245,1766.4040168977403,4489.414390403418,222.12974309583777,335.56365966796875,113.43391657213098,SH_ST,SH_ST
2569.0,2569.0110185119165,1765.4622076087155,4489.078242722917,222.12875145893483,335.49688720703125,113.36813574809642,SH_ST,SH_ST
2570.0,2570.011019003588,1764.5203983196914,4488.742095042414,222.1277598220319,335.3243408203125,113.1965809982806,SH_ST,SH_ST
2571.0,2571.01101949526,1763.5785890306674,4488.405947361909,222.12676818512887,334.9295654296875,112.80279724455856,SH_ST,SH_ST
2572.0,2572.011019986932,1762.6367797416435,4488.069799681405,222.12577654822604,334.5347900390625,112.40901349083646,SH_ST,SH_ST
2573.0,2573.011020478604,1761.6949704526196,4487.733652000901,222.1247849113231,334.1400451660156,112.01526025469252,SH_ST,SH_ST
2574.0,2574.011020970276,1760.753161163596,4487.397504320396,222.12379327442017,333.7452697753906,111.62147650097046,SH_ST,SH_ST
2575.0,2575.011021461948,1759.811351874572,4487.061356639892,222.12280163751723,333.3504943847656,111.2276927472484,SH_ST,SH_ST
2576.0,2576.0110219536195,1758.8695425855576,4486.725208959361,222.1218100006143,332.95574951171875,110.83393951110446,SH_ST,SH_ST
2577.0,2577.0110224452915,1757.927733296556,4486.3890612787945,222.1208183637113,332.54229736328125,110.4214789995699,SH_ST,SH_ST
2578.0,2578.011022936963,1756.9859240075543,4486.052913598229,222.11982672680844,332.1141357421875,109.99430901537906,SH_ST,SH_ST
2579.0,2579.011023428635,1756.0441147185527,4485.716765917662,222.1188350899055,331.6859741210937,109.56713903118823,SH_ST,SH_ST
2580.0,2580.011023920307,1755.1023054295508,4485.380618237096,222.11784345300256,331.2578125,109.13996904699744,SH_ST,SH_ST
2581.0,2581.0110244119787,1754.1604961405492,4485.04447055653,222.11685181609965,330.82965087890625,108.7127990628066,SH_ST,SH_ST
2582.0,2582.0110249036507,1753.2186868515823,4484.708322875866,222.1158601791967,330.4014892578125,108.2856290786158,SH_ST,SH_ST
2583.0,2583.0110253953226,1752.2768775630268,4484.372175194049,222.1148685422937,329.97332763671875,107.858459094425,SH_ST,SH_ST
2584.0,2584.0110258869945,1751.3350682744713,4484.036027512233,222.11387690539084,329.5451965332031,107.43131962781229,SH_ST,SH_ST
2585.0,2585.011026378666,1750.3932589859155,4483.699879830418,222.1128852684879,329.1170349121094,107.00414964362147,SH_ST,SH_ST
2586.0,2586.011026870337,1749.4514496973602,4483.363732148601,222.11189363158496,328.6888732910156,106.57697965943066,SH_ST,SH_ST
2587.0,2587.011027362009,1748.509640408805,4483.027584466785,222.110901994682,328.2607116699219,106.14980967523988,SH_ST,SH_ST
2588.0,2588.011027853681,1747.5678311202491,4482.691436784969,222.10991035777909,327.8325500488281,105.72263969104904,SH_ST,SH_ST
2589.0,2589.0110283453528,1746.626021831373,4482.35528910405,222.1089187208761,327.4043884277344,105.29546970685824,SH_ST,SH_ST
2590.0,2590.011028837024,1745.6842125423725,4482.0191414234805,222.10792708397324,326.9762268066406,104.8682997226674,SH_ST,SH_ST
2591.0,2591.011029328696,1744.7424032533715,4481.682993742911,222.1069354470703,326.548095703125,104.4411602560547,SH_ST,SH_ST
2592.0,2592.011029820368,1743.8005939643708,4481.346846062343,222.10594381016736,325.9821472167969,103.87620340662951,SH_ST,SH_ST
2593.0,2593.01103031204,1742.85878467537,4481.010698381773,222.1049521732644,325.4134521484375,103.3084999751731,SH_ST,SH_ST
2594.0,2594.0110308037115,1741.9169753863694,4480.674550701204,222.10396053636148,324.8447265625,102.74076602613852,SH_ST,SH_ST
2595.0,2595.0110312953834,1740.97516609736,4480.338403020659,222.10296889945857,324.2760009765625,102.17303207710393,SH_ST,SH_ST
2596.0,2596.011031787055,1740.0333568083352,4480.002255340158,222.10197726255564,323.707275390625,101.60529812806936,SH_ST,SH_ST
2597.0,2597.0110322787264,1739.0915475193103,4479.6661076596565,222.1009856256527,323.1385498046875,101.0375641790348,SH_ST,SH_ST
2598.0,2598.0110327703983,1738.1497382302853,4479.329959979155,222.09999398874976,322.56982421875,100.46983023000024,SH_ST,SH_ST
