Mileage,excavation_distance_m,X_local,Y_local,Z_crown,Z_topography,overburden_m,formation_nearest,formation_used,density_kg_m3,young_GPa,poisson,cohesion_MPa,friction_deg,vertical_stress_Pa,horizontal_stress_Pa,failure_criterion,plastic_zone_thickness_m,plastic_zone_ratio_to_radius,plastic_radius_m,plastic_theta_deg,max_failure_F_Pa,max_sigma_1_Pa,max_sigma_3_Pa,stability_index,yield_state
58.0,58.00034550964068,4184.265462132953,5149.320233004568,216.5351935483871,238.1317901611328,21.59659661274572,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,537707.3112128882,645248.7734554658,Mohr-Coulomb,1.5068719816087746,0.5022906605362581,4.506871981608775,0.0,565109.9321187877,1398039.0091535095,0.0,3.200132922323274,plastic_estimate
59.0,59.00035146643933,4183.291129278624,5149.095120834803,216.5386451612904,238.4673614501953,21.92871628890495,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,545976.353843572,655171.6246122863,Mohr-Coulomb,1.5228963318121496,0.5076321106040499,4.52289633181215,0.0,576516.0340054828,1419538.5199932873,0.0,3.2647239692831675,plastic_estimate
60.0,60.00035742323678,4182.316796424322,5148.870008664926,216.5420967741936,238.80291748046875,22.260820706275155,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,554245.0165642835,665094.0198771402,Mohr-Coulomb,1.5386790816416815,0.5128930272138938,4.538679081641682,0.0,587921.6118542638,1441037.0430671372,0.0,3.3293120486948258,plastic_estimate
61.0,61.00036338003458,4181.342463570262,5148.644896494,216.5455483870968,239.1384735107422,22.592925123645387,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,562513.6792849957,675016.4151419947,Mohr-Coulomb,1.554228106779803,0.5180760355932676,4.554228106779803,0.0,599327.1897030459,1462535.5661409888,0.0,3.39390012810649,plastic_estimate
62.0,62.000369336833465,4180.368130716201,5148.419784323073,216.549,239.4740295410156,22.92502954101562,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,570782.3420057079,684938.8104068495,Mohr-Coulomb,1.5695502287277945,0.5231834095759315,4.5695502287277945,0.0,610732.767551828,1484034.0892148407,0.0,3.4584882075181547,plastic_estimate
63.0,63.00037529363147,4179.393797862142,5148.194672152146,216.55245161290324,239.8244171142578,23.27196550135457,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,579420.2772203158,695304.3326643789,Mohr-Coulomb,1.5853213673762907,0.5284404557920969,4.585321367376291,0.0,622647.7102542507,1506492.720772821,0.0,3.525960743820354,plastic_estimate
64.0,64.00038125042947,4178.419465008082,5147.969559981219,216.55590322580645,240.2196350097656,23.66373178395918,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,589174.3879360232,707009.2655232277,Mohr-Coulomb,1.6028502067880952,0.5342834022626984,4.602850206788095,0.0,636102.2763517366,1531853.4086336603,0.0,3.6021519368554977,plastic_estimate
65.0,65.00038720722726,4177.445132154022,5147.744447810293,216.55935483870968,240.6148376464844,24.05548280777469,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,598928.1187417567,718713.742490108,Mohr-Coulomb,1.6200905498972045,0.5400301832990682,4.6200905498972045,0.0,649556.3184113061,1557213.1087285674,0.0,3.6783401623423932,plastic_estimate
66.0,66.00039316402527,4176.470799299962,5147.519335639367,216.5628064516129,241.0100555419922,24.4472490903793,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,608682.2294574641,730418.6753489568,Mohr-Coulomb,1.6370530395029406,0.5456843465009802,4.63705303950294,0.0,663010.8845087921,1582573.7965894067,0.0,3.754531355377537,plastic_estimate
67.0,67.00039912082327,4175.496466445902,5147.29422346844,216.5662580645161,241.4052734375,24.83901537298388,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,618436.3401731707,742123.6082078047,Mohr-Coulomb,1.6537458550418154,0.5512486183472718,4.653745855041816,0.0,676465.4506062769,1607934.4844502439,0.0,3.8307225484126737,plastic_estimate
68.0,68.00040507762128,4174.522133591842,5147.069111297513,216.56970967741933,241.80047607421875,25.230766396799424,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,628190.0709789048,753828.0851746858,Mohr-Coulomb,1.6701768021860532,0.5567256007286844,4.670176802186053,0.0,689919.4926658473,1633294.1845451526,0.0,3.906910773899574,plastic_estimate
69.0,69.00041103441994,4173.547800737588,5146.843999127425,216.5731612903226,242.19569396972656,25.62253267940397,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,637944.1816946106,765533.0180335328,Mohr-Coulomb,1.6863552111534577,0.5621184037178192,4.686355211153458,0.0,703374.0587633309,1658654.8724059877,0.0,3.9831019669347043,plastic_estimate
70.0,70.00041699121749,4172.57346788326,5146.618886957662,216.57661290322585,242.5909118652344,26.014298962008525,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,647698.2924103166,777237.95089238,Mohr-Coulomb,1.7022881209278138,0.5674293736426046,4.702288120927814,0.0,716828.6248608149,1684015.5602668233,0.0,4.059293159969837,plastic_estimate
71.0,71.00042294801594,4171.5991350289305,5146.393774787898,216.58006451612903,242.98611450195312,26.406049985824097,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,657452.0232160515,788942.4278592617,Mohr-Coulomb,1.717982264184191,0.5726607547280637,4.717982264184191,0.0,730282.6669203864,1709375.260361734,0.0,4.135481385456743,plastic_estimate
72.0,72.0004289048137,4170.624802174602,5146.168662618134,216.58351612903223,243.3813323974609,26.797816268428704,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,667206.1339317589,800647.3607181107,Mohr-Coulomb,1.7334458784147888,0.5778152928049296,4.733445878414789,0.0,743737.2330178723,1734735.9482225734,0.0,4.2116725784918865,plastic_estimate
73.0,73.00043486161215,4169.650469320273,5145.94355044837,216.5869677419355,243.77655029296875,27.18958255103325,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,676960.2446474647,812352.2935769577,Mohr-Coulomb,1.7486850574236112,0.5828950191412038,4.748685057423611,0.0,757191.7991153558,1760096.6360834083,0.0,4.287863771527016,plastic_estimate
74.0,74.00044081840991,4168.676136465945,5145.718438278605,216.5904193548388,244.1717529296875,27.581333574848745,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,686713.9754531976,824056.7705438371,Mohr-Coulomb,1.7637056420274622,0.5879018806758207,4.763705642027462,0.0,770645.8411749246,1785456.336178314,0.0,4.364051997013908,plastic_estimate
